FID,103,141,142,143,144,11,12,13,14,15,16,17,18,19,20,116,117,118,119,120,121,122,123,245,246,247,248,249,250,251,252,254,255,256,257,258,259,260,273,274,275,276,278,279,280,282,283,286,287,290,291,292,293,294,295,296,297,298,308,309,310,311,312,313,314,25,159,316,317,318,319,321,322,323,324,325,205,206,207,208,209
Lon,55.492275,55.347738,55.341347,55.3351,55.331138,55.093414,55.061555,55.052305,55.026917,55.010908,54.995798,54.999597,54.621044,54.621567,54.607312,55.45584,55.456342,55.455358,55.417597,55.395652,55.389,55.428015,55.415179,53.607185,53.564105,53.524567,53.520675,53.534778,53.592057,53.467751,53.467751,53.449593,53.417683,53.401885,53.359469,53.339027,53.331033,53.49738,53.689251,53.689251,53.685648,53.670871,53.644537,53.634024,53.919188,53.955318,54.019885,53.945382,54.062327,54.088921,54.040095,54.026773,54.026295,54.026295,54.026341,54.033363,54.313727,54.309861,52.692263,52.632703,52.630415,52.628112,52.566742,52.857325,52.906133,54.805623,55.652508,52.93101,52.910428,52.902267,52.902645,51.74466,51.750758,53.432791,53.438622,53.497603,55.425355,55.427243,55.42949,55.440098,55.435667
Lat,23.552685,24.563613,24.564805,24.564498,24.563797,24.183991,24.213013,24.199213,24.18921,24.199493,24.20352,24.194397,24.170958,24.169816,24.169697,23.499402,23.50208,23.479768,23.458882,23.461712,23.469352,23.433075,23.391212,23.137837,23.088403,23.082291,23.075992,23.056962,23.089446,23.027799,23.027799,23.037858,23.000157,22.97166,22.946868,22.947066,22.941027,23.027313,23.657804,23.657804,23.65785,23.660954,23.657428,23.649781,23.106503,23.056908,23.124663,23.1377,23.05998,23.073287,23.083041,23.111381,23.110737,23.110737,23.110201,23.10265,22.932373,22.938867,23.923598,23.855309,23.858163,23.861273,23.779647,23.714752,23.697233,24.636058,24.534884,23.669442,23.711872,23.71399,23.714556,24.073398,24.070105,24.039095,24.030731,24.081703,24.203068,24.200382,24.198762,24.188348,24.187277
TOC,0.1,0.36,0.73,0.37,0.29,0.52,0.06,0.52,0.18,0.89,0.21,1.28,0.42,0.04,0.02,0.38,0.99,0.62,0.91,0.05,0.03,0.81,0.26,0.19,0.19,0.2,0.28,0.23,0.26,0.27,0.28,0.2,0.3,0.4,0.19,0.21,0.22,0.08,0.82,0.8,0.73,0.47,0.73,1.3,0.08,0.03,0.29,0.39,0.18,0.27,0.09,0.21,0.6,0.58,0.09,0.39,0.25,0.27,0.36,0.25,0.25,0.29,0.37,0.06,0.72,0.06,0.35,1.16,0.79,0.25,0.39,0.92,1.01,0.04,0.1,0.15,0.38,0.64,0.74,0.78,0.59
clay,1,1,3,2,4,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,3,2,3,3,4,5,5,6,7,7,7,4,7,4,5,8,2,8,8,3,1,3,9,5,0,8,7,6,5,3,1,9,9,3,3,3,5,4,6,5,5,6,1,7,0,3,8,6,3,5,5,4,2,2,3,0,1,0,1,0
silt,3,3,3,3,2,4,0,1,2,15,0,0,0,0,3,3,4,2,5,1,2,5,4,2,2,6,5,6,3,3,3,1,1,4,3,2,3,0,3,3,3,2,4,4,1,1,1,6,2,5,2,2,3,3,1,4,2,4,8.18,5.54,0.86,2.18,5.96,0.11,4.32,0,13,7.96,5.64,7.07,6.96,10.07,4.54,0.86,1.64,1.11,4,3,2,6,1
sand,95,92,70,94,89,94,100,96,87,79,97,91,99,98,59,75,85,97,90,79,69,87,92,95,90,90,90,81,91,90,90,91,94,87,92,92,89,98,87,87,87,96,93,86,92,99,88,83,91,89,94,97,85,85,96,93,95,89,83.82,88.46,94.14,90.82,88.04,97.89,87.68,99,81,81.04,88.36,89.93,87.04,75.93,89.46,97.14,95.36,93.89,96,93,93,85,95
350,0.147384165,0.107707883,0.123474465,0.11746758,0.123788718,0.099560565,0.094900752,0.073577869,0.126448128,0.079982965,0.097614406,0.088667206,0.086018678,0.091697258,0.162599415,0.108289793,0.074806581,0.089881171,0.091716508,0.101702912,0.131816619,0.099187679,0.10436132,0.091757275,0.11731526,0.147947111,0.102242854,0.083453504,0.074035798,0.097426574,0.093767653,0.110491874,0.085745297,0.100291414,0.096466881,0.094307505,0.112968763,0.096774647,0.08192518,0.086718761,0.125825687,0.114590821,0.132052929,0.067437406,0.099735418,0.100285691,0.092952574,0.091169898,0.115504977,0.115495185,0.077639395,0.122853065,0.066856916,0.074836691,0.071571676,0.121810771,0.094910345,0.117217067,0.145517562,0.143458301,0.129492239,0.124756784,0.131197501,0.122074461,0.124807699,0.108170225,0.098834287,0.144507438,0.116946311,0.157343523,0.128510511,0.128545146,0.121462203,0.172214163,0.164407186,0.146118951,0.093929206,0.116004028,0.095245118,0.117059934,0.084216729
351,0.140758121,0.120480105,0.132006157,0.126586282,0.139523139,0.101005012,0.094315372,0.077252296,0.124352342,0.080045174,0.102485225,0.090652554,0.082064041,0.089174666,0.157348602,0.107680702,0.073385992,0.090619646,0.091772782,0.103458864,0.129538984,0.101391104,0.100944892,0.103062932,0.119698089,0.161847985,0.112175747,0.096993119,0.092189983,0.106733652,0.107091735,0.107322985,0.086872535,0.09817429,0.093523328,0.094385311,0.109590011,0.099411955,0.071208448,0.092851659,0.131433807,0.113281879,0.136736186,0.072684641,0.105061266,0.103344278,0.09413236,0.094376252,0.114782624,0.117845463,0.080459498,0.118383473,0.066893653,0.074860803,0.067626134,0.123665663,0.097349058,0.124563297,0.133500887,0.136856157,0.128856634,0.115800052,0.124635365,0.111939601,0.118669506,0.112665007,0.104971383,0.130301847,0.105984823,0.142420652,0.115498052,0.118180298,0.107504673,0.162488041,0.154200487,0.135754353,0.101006601,0.119387759,0.099280474,0.121546117,0.0877523
352,0.14310572,0.118655532,0.128345442,0.130169074,0.139713435,0.093422925,0.090938485,0.067393663,0.121750971,0.077011322,0.096461182,0.089653681,0.080617183,0.081980974,0.156748521,0.107911431,0.075328338,0.095110863,0.095941331,0.102906082,0.136362013,0.099537305,0.102398096,0.106308879,0.125683231,0.168208741,0.117438689,0.101026804,0.090468255,0.112930541,0.115293651,0.11558409,0.096672356,0.105164706,0.103964271,0.100833476,0.118316318,0.105910265,0.068231826,0.090281336,0.125705548,0.112023936,0.136190571,0.066933141,0.100906502,0.101727677,0.08952426,0.095652745,0.11689118,0.120293167,0.083299341,0.123972539,0.063363095,0.074608382,0.071497973,0.114686996,0.090124692,0.114157657,0.147884724,0.146051368,0.137688495,0.125813183,0.131810176,0.123343257,0.128331047,0.110702148,0.11425891,0.136059103,0.112017931,0.154836187,0.127434336,0.123286825,0.11623076,0.167643152,0.163315808,0.144789045,0.090903784,0.107034581,0.089399563,0.11115608,0.075752316
353,0.138481309,0.110695709,0.122121719,0.125004089,0.132161763,0.099922917,0.094134796,0.07207486,0.125029283,0.079499981,0.101413286,0.095366435,0.085203112,0.089645776,0.159056503,0.099925945,0.070183365,0.087660811,0.088634234,0.096771091,0.126609388,0.091532711,0.095115581,0.09974873,0.121677231,0.16088155,0.11177437,0.097791401,0.086375664,0.111210476,0.110801917,0.11063272,0.091622262,0.097929498,0.098151578,0.093109651,0.11224065,0.100589344,0.073835049,0.086177537,0.12352134,0.108135418,0.13059212,0.064740743,0.094694642,0.098909914,0.086102625,0.085281982,0.105949368,0.110213459,0.073294899,0.11608199,0.054155727,0.063423579,0.064771586,0.102791205,0.079772076,0.102706232,0.143438087,0.139027072,0.130262841,0.120260062,0.124001513,0.115528277,0.124132105,0.098784377,0.113407299,0.140708027,0.115247602,0.158754408,0.133608573,0.126018429,0.119329125,0.172393286,0.167324557,0.146430789,0.090178938,0.105895146,0.086211042,0.107560527,0.074368429
354,0.132888505,0.109385745,0.122532857,0.122437317,0.129169968,0.112049405,0.099317657,0.083544135,0.131183115,0.084554392,0.110752196,0.10196536,0.090750631,0.101113146,0.16219926,0.097078892,0.068769024,0.082665883,0.08417256,0.096869592,0.118354951,0.091157919,0.09316636,0.092067731,0.116101434,0.151641407,0.104828899,0.093541468,0.086008872,0.106273298,0.10299008,0.100349508,0.080484408,0.086866874,0.087684994,0.081498529,0.101265074,0.091052457,0.079220164,0.08443918,0.126127316,0.107553867,0.125913254,0.065953823,0.092460121,0.097757114,0.085255627,0.076424086,0.096401047,0.102058834,0.06523612,0.106862344,0.049144354,0.055940801,0.056676258,0.098505763,0.076013757,0.099530458,0.130505092,0.126376473,0.117646524,0.109175328,0.111146099,0.101236171,0.114006198,0.090240444,0.106009627,0.139262144,0.112057313,0.152326131,0.129531153,0.123097623,0.114498775,0.170022347,0.162702526,0.139920065,0.093985412,0.111588333,0.087858266,0.109427557,0.0793343
