OBS,SOIL,CLAI,SILT,SAND,SSA,HIGF,OM,OC,CACO3,CEC,CEC,CMG,CNA,CK,CCA,CMGP,CNAP,CK,CCA,1.4-2,1-1.4,0.5-1,0.25-0.5,0.1-0.25,<0.1,Average,H2O,EC,PH pasta,PH extr.,NO3,CL,HCO3,SO4,Na,K,Mg,Ca,SAR,Fed,Feo,Fec,Fes,Feo/Fed,Fed/Fet,MNd,Mno,MNc,Mno/MNd,ALD,Alo,Alc,ALO/Ald,SIO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,TOTAL,MN,NI,ZN,CU,CO,MO,CR,CD,PB,RB,SR,Y,ZR,NB,BA,TH,U,Smectite,Lllite,Kaolin,Quartz,Calcite,Dolomite,Other
1,E1,13.9719,0,86.0281,48.5,1.12,1.27,0.59,1.83,8.35,8.35,1.17,0.26,0.29,6.63,14.07,3.06,0.29,6.63,2.9,2.1,5.4,23.1,62.3,4,0.3,33.4,0.504,7.4,7.5,0.342,0.7,3.9,0.92,1.07,0.33,0.62,2.65,0.837,4302.4,339.33,3963.1,244.6,0.08,0.88,71.8,80.12,-8.33,1.12,591.72,603.16,-11.4,1.02,88.5,3.01,1.3,0.21,1.47,0.12,0.43,0.44,0.05,3.77,99.3,231,-,26,-,-,-,64,0.2,11,80,56,11,306,14,160,-,-,5,-,5,85,2,3,-
2,E2,8.8638,2.5181,88.618,31.8,0.67,0.47,0.17,0,4.53,4.53,0.54,0.12,0.1,3.77,12,2.71,0.1,3.77,1.1,0.8,4.7,28.8,61.2,2.8,0.27,22.06,0.338,7.2,7.5,-,0.7,4.01,0.91,1.13,0.08,0.82,2.66,0.857,3150.7,208.92,2941.8,661.9,0.07,0.78,95.99,114.33,-18.34,1.19,681.28,637.04,44.2,0.94,91.6,3.39,1.09,0.19,0.57,0.45,0.61,0.38,0.04,1.62,99.94,231,16,13,-,-,-,62,-,30,28,91,20,261,20,282,-,-,5,-,-,90,-,-,5
3,E3,25.5598,3.8851,70.5552,102.5,2.15,1,0.33,0,14.18,14.18,1.93,0.34,0.28,11.63,13.64,2.4,0.28,11.63,3.4,2,7,34.2,44.7,8.1,0.34,34.31,1.193,6.9,7.75,0.338,1.9,5.18,6.27,3.07,0.16,2.29,9.06,1.289,9169.6,388.17,8781.4,-355.3,0.04,1,144.75,90.64,54.11,0.63,1367.18,860.21,507,0.63,84.3,6.05,2.52,0.3,0.56,0.22,0.59,0.48,0.05,4.39,99.46,308,12,37,-,-,-,74,-,26,28,65,24,200,11,276,17,-,10,-,10,70,-,-,10
4,E4,16.5819,2.5432,80.8749,66.6,1.71,1.37,0.7,0.7,12.26,12.26,1.44,0.28,0.22,10.32,11.75,2.32,0.22,10.32,2.7,2,9.8,35.1,43.1,6.6,0.35,33.84,0.571,7.5,7.1,0.173,1.4,3.7,0.92,1.73,0.13,0.1,3.47,1.295,3983.2,363.44,3619.7,1613.2,0.09,0.67,89.71,105.66,-15.95,1.18,796.95,714.41,82.5,0.9,88.4,3.58,1.6,0.26,0.91,0.16,0.46,0.55,0.07,3.77,99.76,231,10,25,-,-,-,74,0.02,11,25,52,14,372,14,197,-,-,7,-,7,80,1,-,5
5,E5,33.8471,5.2072,60.9456,165.1,4.15,0.93,0.12,0.28,21.99,21.99,3.09,0.84,0.18,17.89,14.04,2.81,0.18,17.89,9.8,6.3,19.1,39.7,20.5,4.2,0.57,31.23,1.819,7.6,7.2,2.641,6.5,1.3,9.24,13.21,0.06,1.79,6.38,6.536,7697.6,438.87,7258.7,6258.3,0.06,0.53,462.75,490.04,-27.29,1.06,1159.7,784.59,375.1,0.68,79.3,7.01,3.99,0.45,0.75,0.19,0.55,0.85,0.03,5.62,98.74,616,30,33,-,12,-,107,0.02,-,22,47,37,295,15,310,67,-,25,-,60,1,-,10,-
6,E6,20.3915,0,79.6085,83.7,1.83,0.56,0.12,0.63,13.15,13.15,2.34,0.52,0.19,10.1,17.77,3.95,0.19,10.1,1.9,1.2,7.7,72.8,14.6,1.4,0.4,29.28,2.7,7.35,8.1,3.089,13.2,5.5,10.45,9.75,0.21,4.98,14.37,3.135,5072.7,267.38,4805.3,1992.7,0.05,0.69,61,73.93,-12.93,1.21,934.32,524.16,310.2,0.56,88.2,4.07,2.02,0.24,0.63,0.06,0.37,0.37,0.03,3.39,99.38,154,17,21,10,-,-,73,-,-,41,24,-,196,15,165,-,-,10,-,5,80,1,-,5
7,E7,24.318,1.3283,74.3537,98.1,2.23,0.68,0.16,0,13.99,13.99,1.89,0.19,0.17,11.74,13.51,1.36,0.17,11.74,4,2.3,5.8,43.4,40.3,3.8,0.37,32.54,0.828,6.5,7.49,1.345,2.3,2.15,4.18,1.57,0.13,1.97,6.16,0.779,7974.9,668.56,7306.3,-489.7,0.08,0.98,87.71,66.04,21.67,0.75,944.6,533.06,311.5,0.56,87.2,5.23,2.14,0.25,0.3,0.04,0.51,0.4,0.04,3.7,99.81,154,13,31,10,-,-,72,0.2,17,24,21,22,212,-,227,-,-,5,-,10,75,1,-,9
8,E8,10.0715,1.3093,88.6192,29.4,0.62,0.14,0.03,0,3.75,3.75,0.58,0.05,0.04,3.07,15.49,1.34,0.04,3.07,0.4,0.7,1.9,56.3,40.2,0.3,0.31,29.03,0.22,7.3,6.05,0.245,0.6,0.6,0.68,0.82,0.06,0.35,1.26,0.914,2528.3,168.53,2359.7,-184.8,0.07,1.01,36.17,33.47,2.7,0.93,386.97,322.61,64.4,0.83,94.6,2.13,0.67,0.05,0.1,0.02,0.4,0.26,0.02,1.31,99.56,77,10,11,-,-,-,46,0.04,24,25,15,-,163,-,177,-,-,-,-,-,90,-,3,7
9,E9,6.3126,0,93.6874,10.8,0.2,0.09,0.04,3.21,1.38,1.38,0.54,0.11,0.03,0.69,39.32,8.25,0.03,0.69,0,0,0,31.1,68.6,0.2,0.23,35.58,0.1093,7.85,7.15,0.02,0.2,1.05,-,0.28,0.04,0.15,1.81,0.283,791.1,153.78,637.3,573,0.19,0.52,20.94,28.66,-7.72,1.37,78.26,209.06,-130.8,2.67,90.1,2.65,0.39,0.19,2.43,0.59,0.61,0.12,0.04,1.85,98.97,77,10,12,-,-,-,41,-,17,24,128,-,52,17,289,-,12,-,-,-,94,3,-,3
10,EC1,7.5529,2.5176,89.9295,22.7,0.71,1.78,1.07,5.53,6.5,6.5,1.06,0.32,0.11,5,16.33,4.96,0.11,5,0.9,0.7,2.9,64.6,28.7,2.2,0.34,100,0.538,-,7.7,0.125,1,4.87,-,1.21,0.31,1.49,7.06,0.585,2027.3,224.21,1803.1,1.3,0.11,0.9,84.29,115.41,-31.12,1.37,161.39,411.77,-250.4,2.55,86.7,1.66,0.58,0.15,3.99,0.11,0.32,0.17,0.06,5.77,99.51,154,10,18,-,-,-,34,-,22,16,50,22,99,10,128,19,-,2,-,2,90,6,-,-
