FID,Lat,Lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
1,24.236353,54.736553,0.1983,0.2669,0.3461,0.4096,0.4312,0.4498,0.4450,0.4641,0.5515,0.5029
2,24.253125,54.712263,0.1266,0.1748,0.2022,0.2686,0.3564,0.3943,0.4136,0.4193,0.4070,0.3293
3,24.201236,54.628437,0.1337,0.1808,0.2285,0.2577,0.2567,0.2690,0.2606,0.2737,0.3505,0.3154
4,24.167353,54.637328,0.1900,0.2318,0.2706,0.3033,0.2985,0.3049,0.2884,0.3007,0.3809,0.3385
5,24.194968,54.871967,0.1710,0.2360,0.3192,0.3894,0.3999,0.4249,0.4356,0.4538,0.5743,0.4974
6,24.191110,54.903420,0.1887,0.2529,0.3271,0.3470,0.3592,0.3861,0.4110,0.4111,0.5184,0.4412
7,24.194193,54.903117,0.1669,0.2350,0.3281,0.3836,0.3995,0.4308,0.4618,0.4716,0.5777,0.4749
8,24.195338,54.897285,0.2179,0.2937,0.3921,0.4362,0.4438,0.4696,0.5127,0.5012,0.5953,0.5123
9,24.196950,54.898302,0.1939,0.2678,0.3684,0.3953,0.4112,0.4352,0.4614,0.4639,0.5765,0.4985
10,24.195313,55.044528,0.1688,0.2252,0.2822,0.3138,0.3588,0.3941,0.3986,0.4004,0.4375,0.3671
21,24.604778,54.869850,0.1690,0.2240,0.2598,0.2643,0.3480,0.3896,0.4164,0.4038,0.4078,0.3359
22,24.604778,54.869850,0.1690,0.2240,0.2598,0.2643,0.3480,0.3896,0.4164,0.4038,0.4078,0.3359
24,24.630932,54.821655,0.1039,0.1483,0.1512,0.2171,0.3177,0.3472,0.3753,0.3725,0.3448,0.2536
25,24.636058,54.805623,0.1873,0.2418,0.2943,0.3182,0.3491,0.3778,0.3687,0.3802,0.4366,0.3829
26,24.620906,54.812301,0.1236,0.1836,0.2362,0.2800,0.3397,0.3604,0.3792,0.4024,0.4570,0.3666
27,24.615837,54.817450,0.2302,0.2966,0.3362,0.3893,0.4022,0.4148,0.3836,0.4184,0.4581,0.4095
28,24.706313,54.765530,0.1388,0.1800,0.2124,0.2691,0.3012,0.3188,0.3140,0.3323,0.3580,0.2708
29,24.648773,54.713598,0.1241,0.1770,0.2206,0.2442,0.3165,0.3406,0.3491,0.3620,0.3737,0.3157
30,24.647047,54.701857,0.2016,0.2748,0.3475,0.3773,0.3790,0.3945,0.4017,0.4051,0.5166,0.4650
31,24.646586,54.698072,0.2038,0.2829,0.3671,0.4054,0.4068,0.4225,0.4302,0.4363,0.5601,0.4957
32,24.662773,54.702535,0.1763,0.2496,0.3213,0.3469,0.3480,0.3645,0.3767,0.3749,0.4692,0.4313
33,24.637581,54.696429,0.2209,0.2967,0.3684,0.3981,0.3961,0.4089,0.4206,0.4192,0.5192,0.4703
34,24.618524,54.695471,0.1916,0.2617,0.3299,0.3469,0.3559,0.3730,0.3909,0.3840,0.4820,0.4488
35,24.607392,54.685752,0.0743,0.0979,0.1213,0.1896,0.2478,0.2739,0.2506,0.3016,0.2910,0.2185
